,the,and,of,a,to[infinitive],in[preposition],as,with,to[preposition],be,it,but,not,is,that[conjunction],for[preposition],that[relative],was,have,this,by[preposition],or,all,so[adverbdegree],at,which[relative],if,will[verb],had,such,are,one,were,than,from,would,for[conjunction],on[preposition],what,shall,there,when,yet,that[demonstrative],hath,no[adjective],any,into,should,then,an,out,who[relative],may,some,so[conjunction],well,how,other,being,these,no[adverb],where,so[adverbmanner],up[adverb],upon[preposition],never,thus,much,like[preposition],now,every,do,can,might,many,could,did,before,own,after,unto,nor,most,against,only,though,been,am,without,both,must,very,whom,either,down,those,too,ever,neither,nothing,whose,having,about,because,cannot,here,over,doth,none,hast,under,rather,till,least,again,amongst,another,why,while,art[verb],o,since,done,off,through,although,even,shalt,still,same,will[noun],within,in[adverb],wilt,back,above,like[adjective],almost,few,past,dost,among,ere,enough,canst,anything,somewhat,besides,who[interrogative],oft,sith,like[verb],dare,mayst,often,up[preposition],for[adverb],each,perhaps,itself,on[adverb],like[adverb],beyond,durst,wouldst,round,until,wert,whilst,didst,by[adverb],hence,hadst,doing,quite,something,to[adverb],no[exclamation],along,mightst,upon[adverb],does,darest,has,which[interrogative],likest
1 Conycatching,5.6473393,4.122319,2.3828435,2.0810168,1.4217633,1.4455917,1.1119937,0.92136616,1.056394,0.7386815,0.5798253,0.7307387,0.675139,0.841938,0.5877681,0.86576647,0.65131056,0.50833994,0.55599684,0.54805404,0.50833994,0.69896746,0.50039715,0.31771246,0.6354249,0.2700556,0.44479746,0.5957109,0.30182683,0.3335981,0.43685466,0.38125497,0.1350278,0.111199364,0.09531374,0.2700556,0.23828435,0.16679905,0.32565528,0.23828435,0.30182683,0.24622716,0.19062749,0.32565528,0.19062749,0.16679905,0.15091342,0.24622716,0.09531374,0.4130262,0.1985703,0.2065131,0.17474186,0.15885623,0.3415409,0.30182683,0.24622716,0.079428114,0.25416997,0.08737093,0.31771246,0.08737093,0.09531374,0.15091342,0.21445592,0.25416997,0.119142175,0.22239873,0.031771246,0.111199364,0.111199364,0.12708499,0.16679905,0.079428114,0.10325655,0.12708499,0.111199364,0.031771246,0.21445592,0.023828436,0.0714853,0.06354249,0.04765687,0.04765687,0.0714853,0.0714853,0.111199364,0.06354249,0.079428114,0.04765687,0.055599682,0.119142175,0.055599682,0.055599682,0.18268467,0.12708499,0.039714057,0.015885623,0.06354249,0.031771246,0.023828436,0.06354249,0.04765687,0.09531374,0.0714853,0.007942812,0.09531374,0.04765687,0.055599682,0.039714057,0.007942812,0.023828436,0.031771246,0.08737093,0,0.0714853,0.04765687,0.04765687,0.079428114,0.04765687,0.023828436,0.079428114,0.007942812,0.015885623,0.079428114,0.031771246,0.04765687,0.015885623,0.015885623,0.031771246,0.023828436,0.007942812,0.007942812,0.17474186,0.015885623,0.04765687,0.015885623,0.015885623,0.023828436,0.007942812,0,0.007942812,0.04765687,0.039714057,0.023828436,0.007942812,0.007942812,0.031771246,0.007942812,0.015885623,0.023828436,0.015885623,0,0,0,0.007942812,0.007942812,0.023828436,0,0.055599682,0,0.055599682,0,0,0.031771246,0,0.007942812,0.007942812,0,0,0,0.031771246,0,0,0.007942812,0,0.015885623,0.007942812,0.04765687,0.007942812,0,0.007942812,0,0,0,0,0
2 Conycatching,6.0708613,4.8138685,2.4656398,2.2377236,1.5263485,1.519442,1.0428897,0.9254783,1.1464881,0.8011603,0.90475863,0.70446855,0.43511292,0.8771324,0.6492161,0.8495062,0.83569306,0.5594309,0.5456178,0.6561227,0.42820635,0.7873472,0.37295392,0.36604738,0.7182816,0.29698184,0.3798605,0.26244906,0.48345882,0.40058014,0.3798605,0.29007527,0.1657573,0.08287865,0.19338351,0.1657573,0.40058014,0.1657573,0.27626216,0.15194419,0.44892603,0.20719662,0.14503764,0.3453277,0.25554252,0.041439325,0.36604738,0.23482284,0.10359831,0.47655225,0.15194419,0.24172941,0.25554252,0.19338351,0.38676703,0.21410318,0.3177015,0.15885074,0.23482284,0.08287865,0.21410318,0.11741142,0.1795704,0.27626216,0.1657573,0.19338351,0.10359831,0.14503764,0.10359831,0.20029007,0.12431798,0.13813108,0.15885074,0.075972095,0.10359831,0.06215899,0.04834588,0.075972095,0.09669176,0.041439325,0.11741142,0.0897852,0.11741142,0.11741142,0.10359831,0.12431798,0.06906554,0.06215899,0.055252433,0.15885074,0.06215899,0.027626216,0.110504866,0.041439325,0.15194419,0.0897852,0.075972095,0.075972095,0.06906554,0.03453277,0.020719662,0.03453277,0.09669176,0.15194419,0.06906554,0.041439325,0.04834588,0.041439325,0.06215899,0.041439325,0.020719662,0.027626216,0.020719662,0.09669176,0.055252433,0.110504866,0.06215899,0.041439325,0.013813108,0.0897852,0.03453277,0.006906554,0.03453277,0.06906554,0.0897852,0.013813108,0.04834588,0.03453277,0.006906554,0.06906554,0.020719662,0.013813108,0.04834588,0.13813108,0.013813108,0.03453277,0,0.027626216,0.020719662,0.020719662,0.027626216,0.027626216,0.006906554,0.020719662,0.006906554,0,0.013813108,0.006906554,0.013813108,0,0,0.013813108,0.006906554,0.013813108,0,0.013813108,0,0.006906554,0,0.055252433,0,0.013813108,0.006906554,0,0.006906554,0,0.013813108,0.020719662,0,0.04834588,0,0.03453277,0.006906554,0,0.006906554,0.006906554,0.006906554,0,0,0,0,0,0,0.006906554,0,0,0
3 Conycatching,5.8087506,3.5548558,2.4693403,1.7732847,1.6572754,1.5246934,1.317534,1.0357971,1.2098111,0.57176,1.010938,0.6214783,0.72091484,0.32316872,0.48889625,0.72091484,0.5551873,1.1269473,0.41431886,0.81206495,0.66291016,0.42260525,0.3646006,0.3646006,0.49718264,0.49718264,0.16572754,0.14915478,0.7540603,0.6960557,0.19058667,0.48889625,0.3646006,0.1823003,0.24030493,0.44746438,0.19058667,0.41431886,0.28173682,0.07457739,0.30659595,0.40603247,0.12429566,0.22373219,0.05800464,0.15744117,0.23201856,0.17401393,0.2900232,0.17401393,0.19058667,0.13258204,0.27345043,0.19058667,0.2900232,0.08286377,0.31488234,0.24030493,0.38945973,0.2568777,0.12429566,0.19887306,0.24030493,0.34802786,0.29830956,0.19887306,0.08286377,0.09943653,0.14086841,0.008286377,0.14915478,0.09943653,0.19058667,0.06629102,0.12429566,0.16572754,0.26516408,0.14915478,0.15744117,0.11600928,0.12429566,0.09115015,0.03314551,0.11600928,0.041431885,0.08286377,0.11600928,0.1077229,0.08286377,0.03314551,0.24030493,0.08286377,0.34802786,0.12429566,0.05800464,0.14915478,0.024859132,0.041431885,0.07457739,0.03314551,0.06629102,0.049718264,0.11600928,0.20715943,0.19887306,0.024859132,0.049718264,0.05800464,0,0.024859132,0.008286377,0.016572755,0.03314551,0.016572755,0.11600928,0.15744117,0.049718264,0.12429566,0,0.06629102,0,0.008286377,0.06629102,0.1077229,0.024859132,0,0,0.03314551,0,0.08286377,0.06629102,0.008286377,0.049718264,0.049718264,0.008286377,0.041431885,0.03314551,0.05800464,0,0.008286377,0.016572755,0.008286377,0.05800464,0.03314551,0.024859132,0,0.03314551,0.05800464,0.03314551,0.03314551,0.008286377,0,0.008286377,0.024859132,0,0.03314551,0.008286377,0.024859132,0.049718264,0,0.008286377,0.016572755,0,0,0,0,0,0,0,0,0,0.016572755,0,0,0.024859132,0,0.024859132,0.008286377,0,0.016572755,0,0,0,0,0,0,0
Anatomy of Absurdity,4.8213935,2.08862,4.0731344,1.9194483,1.9845142,2.0365672,1.314334,1.0670831,1.281801,1.1321491,0.87188494,0.7352463,0.9109246,0.99551046,0.38388965,0.4619689,1.1126293,0.44895568,0.40340945,0.34485003,0.7677793,0.43594247,0.41642267,0.37087643,0.20821133,0.85236514,0.27327737,0.36436984,0.1496519,0.3188236,0.624634,0.43594247,0.29279718,0.37087643,0.39690286,0.22122455,0.019519813,0.1431453,0.3253302,0.1496519,0.34485003,0.2862906,0.13013208,0.41642267,0.21471794,0.1561585,0.22122455,0.18869153,0.279784,0.10410567,0.24725096,0.18869153,0.40340945,0.279784,0.24725096,0.20821133,0.1431453,0.1626651,0.24725096,0.26677078,0.29279718,0.1626651,0.09759906,0.18218492,0.07807925,0.08458585,0.11711887,0.09759906,0.18869153,0.052052833,0.09109246,0.17567831,0.10410567,0.13013208,0.18218492,0.26677078,0.04554623,0.09109246,0.17567831,0.06506604,0.08458585,0.21471794,0.058559436,0.1431453,0.06506604,0.1691717,0.13013208,0.09109246,0.058559436,0.11061227,0.039039627,0.08458585,0.058559436,0.08458585,0.07157265,0.052052833,0.1691717,0.09759906,0.04554623,0.07157265,0.07807925,0.09759906,0.08458585,0.07157265,0.18218492,0.039039627,0.039039627,0.07807925,0.10410567,0.019519813,0.019519813,0.09109246,0.11711887,0.058559436,0.20170473,0.013013208,0.07807925,0.11711887,0.039039627,0.019519813,0.019519813,0.013013208,0.039039627,0,0,0.039039627,0.019519813,0.13013208,0.013013208,0.013013208,0.04554623,0.006506604,0.013013208,0.039039627,0.006506604,0,0.013013208,0.058559436,0.03253302,0.026026417,0.019519813,0,0.013013208,0.006506604,0.019519813,0,0.026026417,0.019519813,0.013013208,0.039039627,0.013013208,0.006506604,0,0.013013208,0.006506604,0.019519813,0,0,0.08458585,0.019519813,0.013013208,0,0.006506604,0.013013208,0.006506604,0,0.006506604,0,0,0.006506604,0,0,0.019519813,0,0.006506604,0,0,0,0,0,0,0,0,0,0,0,0
Arbasto,3.8838654,2.342303,1.9773396,1.5143262,2.592875,1.5197734,1.2310709,1.7703453,0.93692124,0.8933435,0.5991938,1.2038349,1.1983876,0.8933435,0.8225297,0.52838,0.24512474,0.52293277,0.41398844,0.5774049,0.7190326,0.41943568,0.18520536,0.65366596,0.47390783,0.6209827,0.48480228,0.39219958,0.33228022,0.28870246,0.15796928,0.2941497,0.24512474,0.23423031,0.2941497,0.16886371,0.4248829,0.14162762,0.2941497,0.19065258,0.09260268,0.25601918,0.4357773,0.2941497,0.2941497,0.19065258,0.11983876,0.27236083,0.25057197,0.21788865,0.19609979,0.12528598,0.16886371,0.10349711,0.09260268,0.20154701,0.12528598,0.11983876,0.14162762,0.2995969,0.25057197,0.22878309,0.17975815,0.04357773,0.027236082,0.07081381,0.14707485,0.19609979,0.13073319,0.049024947,0.22878309,0.038130514,0.07626103,0.17431092,0.08715546,0.021788865,0.19609979,0.12528598,0.10894433,0.12528598,0.14162762,0.17431092,0.12528598,0.26146638,0.16341649,0.10894433,0.15796928,0.14162762,0.10349711,0.21788865,0.08715546,0.081708245,0.07081381,0.13073319,0.16341649,0.054472163,0.032683298,0.11983876,0.081708245,0.049024947,0.032683298,0.049024947,0.09260268,0.016341649,0.10349711,0.081708245,0.021788865,0.04357773,0.05991938,0.13073319,0.13073319,0.04357773,0.05991938,0.049024947,0.10349711,0.010894433,0,0.010894433,0.10349711,0.07081381,0.13073319,0.07081381,0.07081381,0.021788865,0.027236082,0.054472163,0.027236082,0.010894433,0.07626103,0.038130514,0.010894433,0.13073319,0.027236082,0.005447216,0.09260268,0,0.005447216,0.010894433,0.010894433,0.038130514,0.016341649,0.16341649,0,0.016341649,0,0.081708245,0.010894433,0.027236082,0,0.021788865,0.027236082,0.049024947,0.07081381,0.010894433,0.09260268,0.016341649,0.054472163,0.016341649,0,0.021788865,0.010894433,0.005447216,0.010894433,0.010894433,0.016341649,0.005447216,0,0.010894433,0,0.005447216,0.04357773,0,0,0.016341649,0,0,0,0,0.04357773,0,0.005447216,0,0,0,0,0,0
Black Book's Messenger,3.489011,4.2445054,2.087912,2.7335165,2.1978023,1.6208792,1.0576923,1.0576923,0.96153843,0.728022,1.1263736,0.7417582,0.6868132,0.4945055,0.9478022,0.8791209,0.6456044,0.75549453,0.7417582,0.4945055,0.41208792,0.5494506,0.5494506,0.41208792,0.75549453,0.41208792,0.4532967,0.6181319,0.5631868,0.39835164,0.23351648,0.3708791,0.1923077,0.1923077,0.21978022,0.3846154,0.41208792,0.28846154,0.1923077,0.1923077,0.260989,0.1923077,0.2747253,0.1923077,0.16483517,0.17857143,0.23351648,0.41208792,0.16483517,0.2747253,0.260989,0.24725275,0.13736264,0.06868132,0.31593406,0.1923077,0.21978022,0.28846154,0.20604396,0.10989011,0.13736264,0.12362637,0.17857143,0.24725275,0.28846154,0.12362637,0.17857143,0.23351648,0.12362637,0.12362637,0.09615385,0.1510989,0.12362637,0.09615385,0.082417585,0.13736264,0.260989,0.16483517,0.20604396,0.06868132,0.10989011,0.041208792,0.12362637,0.082417585,0,0.041208792,0.13736264,0.10989011,0.06868132,0.09615385,0.054945055,0.054945055,0.1510989,0.12362637,0.041208792,0.20604396,0,0.09615385,0.082417585,0.054945055,0.06868132,0.027472528,0.13736264,0.24725275,0.06868132,0.06868132,0.082417585,0.1510989,0.041208792,0.013736264,0,0.041208792,0.082417585,0.10989011,0.013736264,0.027472528,0.082417585,0.027472528,0.054945055,0.082417585,0,0.027472528,0.013736264,0.09615385,0.013736264,0.013736264,0.027472528,0.013736264,0,0.06868132,0.054945055,0,0.013736264,0.082417585,0,0.013736264,0,0.013736264,0.054945055,0.013736264,0,0,0,0.027472528,0.013736264,0,0,0.013736264,0.013736264,0,0.013736264,0.041208792,0,0.013736264,0,0,0,0.027472528,0,0.013736264,0,0.041208792,0.013736264,0,0.013736264,0,0,0.013736264,0,0.013736264,0,0,0,0,0,0,0.013736264,0,0,0.027472528,0,0,0,0,0,0,0
Brief Answer,3.964717,3.7140205,2.4233983,1.1142061,2.154132,1.9405757,1.2906221,0.8727948,1.1792015,0.7428041,0.80779946,0.5106778,0.6313835,0.55710304,0.89136493,0.5942433,0.44568247,0.9656453,0.4549675,0.5849582,0.4549675,0.3249768,0.8263695,0.5013928,0.31569174,0.52924794,0.18570103,0.362117,0.39925718,0.61281335,0.28783658,0.362117,0.4363974,0.08356546,0.33426183,0.2692665,0.3249768,0.16713092,0.27855152,0.25998142,0.27855152,0.25998142,0.17641596,0.22284123,0.19498608,0.14856082,0.30640668,0.19498608,0.22284123,0.3806871,0.15784587,0.064995356,0.42711234,0.29712164,0.17641596,0.092850514,0.28783658,0.29712164,0.29712164,0.15784587,0.13927576,0.12999071,0.20427112,0.23212628,0.12999071,0.10213556,0.07428041,0.027855154,0.07428041,0.046425257,0.08356546,0.120705664,0.19498608,0.18570103,0.120705664,0.10213556,0.14856082,0.3249768,0.15784587,0.14856082,0.17641596,0.13927576,0.13927576,0.120705664,0.16713092,0.092850514,0.07428041,0.08356546,0.08356546,0.08356546,0.18570103,0.064995356,0.21355617,0.13927576,0.07428041,0.18570103,0.14856082,0.027855154,0.018570103,0.120705664,0.046425257,0.08356546,0.037140206,0.027855154,0.07428041,0.027855154,0.13927576,0.037140206,0.19498608,0.027855154,0.046425257,0.027855154,0.018570103,0.018570103,0.027855154,0.14856082,0.009285051,0.046425257,0.009285051,0.027855154,0,0.046425257,0.05571031,0.018570103,0.05571031,0.037140206,0.046425257,0.046425257,0.018570103,0.018570103,0.037140206,0.027855154,0.046425257,0.027855154,0.009285051,0,0,0.064995356,0.009285051,0.009285051,0.009285051,0,0.05571031,0.009285051,0.009285051,0,0.046425257,0.009285051,0.009285051,0,0,0,0.009285051,0.009285051,0,0.009285051,0.027855154,0.018570103,0.018570103,0.018570103,0.009285051,0,0.009285051,0.018570103,0,0.009285051,0.009285051,0.018570103,0,0,0.009285051,0,0,0,0,0.018570103,0.009285051,0,0,0,0,0,0,0,0,0,0
Christ's Tears,4.3992815,3.5697932,3.2580748,1.3930471,1.6325597,1.8104329,0.8682329,0.94748336,0.9809447,0.9527667,1.0883731,1.0249727,1.1183121,1.1658624,0.48606953,0.7449544,0.7519989,0.3927301,0.8277271,0.36455214,0.37864113,0.70092636,0.5952591,0.318763,0.25712374,0.39625233,0.35750765,0.49839738,0.24655701,0.114472896,0.47902504,0.28001833,0.2941073,0.24479589,0.43323588,0.3451798,0.13384524,0.34694093,0.21661794,0.5089641,0.2958684,0.2941073,0.13560635,0.23070692,0.32580748,0.38744673,0.28001833,0.25007924,0.2870628,0.09510056,0.1637843,0.3434187,0.07572822,0.15321757,0.09862281,0.16906767,0.077489346,0.15145645,0.11799514,0.08453383,0.13560635,0.16554542,0.0739671,0.08629495,0.26592934,0.10918953,0.18491776,0.044028036,0.11623402,0.14088972,0.12151738,0.130323,0.18315664,0.13208412,0.08629495,0.15850094,0.056355886,0.09510056,0.105667286,0.16906767,0.11623402,0.24655701,0.05987813,0.08629495,0.2130957,0.16026205,0.10390617,0.123278506,0.0739671,0.06692262,0.049311403,0.14088972,0.042266916,0.09157832,0.029939065,0.093339436,0.15673982,0.052833643,0.10390617,0.024655702,0.12503962,0.03346131,0.051072523,0.06692262,0.0739671,0.077489346,0.05811701,0.089817196,0.029939065,0.10038392,0.11271177,0.11271177,0.031700186,0.038744673,0.038744673,0.04578916,0.09157832,0.07572822,0.054594766,0.014088972,0.04755028,0.13560635,0.04578916,0.031700186,0.049311403,0.038744673,0.003522243,0.05811701,0.0739671,0.03346131,0.012327851,0.024655702,0.029939065,0.021133458,0.019372337,0.03522243,0.03346131,0.017611215,0.026416821,0.03346131,0.010566729,0.007044486,0.001761121,0.044028036,0.019372337,0.021133458,0.04578916,0.007044486,0.017611215,0.028177943,0.008805607,0,0,0.012327851,0.015850093,0.03522243,0.021133458,0.010566729,0.003522243,0.005283365,0.024655702,0.005283365,0.003522243,0.017611215,0.001761121,0.05811701,0.026416821,0.005283365,0.028177943,0.008805607,0.007044486,0,0.017611215,0.014088972,0.005283365,0.010566729,0.010566729,0.012327851,0.003522243,0.003522243,0.001761121,0,0.001761121,0,0,0,0
Ciceronis Amor,4.4196362,2.8712342,3.3567824,1.5331091,1.942193,1.7969109,1.3495947,1.4298823,1.1202018,0.71494114,0.5046643,1.0628537,0.8449304,0.6117143,0.7569965,0.7493501,0.6346536,0.66523933,0.42437682,0.6461233,0.569659,0.27527145,0.35173574,0.5008411,0.5390732,0.29438752,0.5008411,0.24086252,0.3440893,0.3708518,0.35173574,0.27909467,0.24468572,0.2370393,0.36320537,0.13763572,0.14145894,0.22556967,0.21792322,0.14528215,0.10705001,0.1299893,0.2905643,0.27144822,0.30968037,0.19116072,0.09175715,0.27144822,0.14145894,0.29438752,0.13763572,0.18733752,0.2102768,0.103226796,0.1299893,0.28674108,0.12616608,0.1835143,0.114696436,0.17969109,0.14910537,0.09558036,0.12234286,0.06117143,0.14528215,0.103226796,0.08028751,0.33261967,0.08028751,0.16057502,0.07646429,0.06499465,0.045878574,0.13381252,0.13763572,0.10705001,0.12616608,0.14145894,0.11851965,0.14145894,0.114696436,0.057348218,0.16057502,0.09558036,0.10705001,0.14528215,0.057348218,0.103226796,0.03440893,0.103226796,0.072641075,0.03440893,0.057348218,0.04205536,0.087933935,0.07646429,0.072641075,0.08028751,0.099403575,0.049701788,0.049701788,0.15292858,0.1299893,0.026762502,0.03440893,0.072641075,0.045878574,0.053525005,0.04205536,0.06499465,0.049701788,0.019116072,0.049701788,0.026762502,0.045878574,0.022939287,0.103226796,0.003823214,0.06117143,0.04205536,0.053525005,0.015292858,0.019116072,0.019116072,0.019116072,0.026762502,0.06499465,0.011469644,0.019116072,0.038232144,0.007646429,0.003823214,0.030585716,0.011469644,0.022939287,0.011469644,0.019116072,0,0.003823214,0.007646429,0.045878574,0.011469644,0,0.022939287,0.003823214,0.011469644,0.003823214,0.030585716,0.003823214,0.007646429,0.015292858,0.015292858,0.022939287,0.007646429,0.022939287,0.015292858,0.011469644,0,0.003823214,0.011469644,0.011469644,0,0.003823214,0.019116072,0.022939287,0,0,0.003823214,0,0.007646429,0,0,0,0,0.007646429,0,0,0,0,0.003823214,0,0,0,0.003823214,0,0.003823214,0
Courtly Controversy,4.0961804,3.1599107,2.7130547,1.5214385,2.1810832,1.361847,1.0533036,0.5958081,1.4788808,0.90435153,0.6383658,1.0745825,1.0320247,0.7022024,1.1490585,0.64900523,0.38301948,1.1703373,0.5319715,0.51069266,0.9681881,0.65964466,0.43621662,0.65964466,0.2766252,0.44685605,0.40429834,0.44685605,0.4681349,0.38301948,0.2766252,0.23406745,0.34046176,0.47877434,0.19150974,0.18087031,0.5532504,0.11703373,0.28726462,0.17023088,0.19150974,0.37238005,0.40429834,0.19150974,0.17023088,0.26598576,0.28726462,0.09575487,0.17023088,0.41493776,0.07447601,0.03191829,0.12767316,0.14895202,0.04255772,0.24470688,0.28726462,0.32982233,0.1383126,0.15959145,0.2127886,0.19150974,0.03191829,0.1383126,0.04255772,0.14895202,0.24470688,0.09575487,0.19150974,0.04255772,0.2766252,0.02127886,0.12767316,0.15959145,0.06383658,0.1063943,0.20214917,0.11703373,0.1063943,0.08511544,0.09575487,0.19150974,0.1383126,0.14895202,0.04255772,0.23406745,0.1063943,0.20214917,0.1063943,0.1383126,0.26598576,0.1063943,0.1063943,0.12767316,0.15959145,0.01063943,0.04255772,0.04255772,0.19150974,0.05319715,0.03191829,0.1063943,0.05319715,0.01063943,0.02127886,0.08511544,0.20214917,0.09575487,0.05319715,0.04255772,0,0.01063943,0.24470688,0.04255772,0.02127886,0.01063943,0.02127886,0,0.1383126,0.01063943,0,0.02127886,0.02127886,0.06383658,0.01063943,0.02127886,0.14895202,0.02127886,0,0.03191829,0.19150974,0.03191829,0.01063943,0,0,0,0.02127886,0.06383658,0.03191829,0.01063943,0,0,0.01063943,0,0.01063943,0,0.02127886,0.04255772,0,0.09575487,0,0.01063943,0.02127886,0.01063943,0,0,0,0.01063943,0.01063943,0,0.03191829,0,0,0.01063943,0,0,0,0.01063943,0,0.03191829,0,0,0,0,0,0.01063943,0,0,0,0,0,0,0,0,0,0.01063943,0
Disputation,3.7542138,3.8308306,2.5589948,2.1146185,1.762182,1.7264277,1.1952192,0.91429156,1.2462969,0.7508428,0.8683216,0.7865972,0.858106,0.6282562,0.9091838,0.84278274,0.67422616,0.8478905,0.54142404,0.48523852,0.52610075,0.52610075,0.49545407,0.6486873,0.62314844,0.25028092,0.4494841,0.41883746,0.5516396,0.34222087,0.28092757,0.25028092,0.2758198,0.26560426,0.1992032,0.4137297,0.30135867,0.22474205,0.36265194,0.16344877,0.28092757,0.2145265,0.30135867,0.28092757,0.19409542,0.1379099,0.2349576,0.24006538,0.11237103,0.2553887,0.20431097,0.19409542,0.17366432,0.10726325,0.26049647,0.14301768,0.18387987,0.22474205,0.14812544,0.18387987,0.08683216,0.14301768,0.18898764,0.27071202,0.14812544,0.16855654,0.15834099,0.17877209,0.20941873,0.10726325,0.1174788,0.13280213,0.17366432,0.1379099,0.09193993,0.19409542,0.12769435,0.08683216,0.09704771,0.16855654,0.14301768,0.09193993,0.06129329,0.10726325,0.06129329,0.15834099,0.18387987,0.102155484,0.056185514,0.06129329,0.07661661,0.045969967,0.051077742,0.066401064,0.08683216,0.13280213,0.020431096,0.12769435,0.07150884,0.051077742,0.051077742,0.051077742,0.051077742,0.13280213,0.030646645,0.08172438,0.09704771,0.03575442,0.010215548,0.08683216,0.030646645,0.03575442,0.051077742,0.07150884,0.07661661,0.051077742,0.066401064,0.066401064,0.10726325,0.09193993,0.030646645,0,0.04086219,0.06129329,0.030646645,0.030646645,0.102155484,0.025538871,0.005107774,0.03575442,0.005107774,0.015323322,0.020431096,0.030646645,0.005107774,0.010215548,0.020431096,0.005107774,0.051077742,0.020431096,0.03575442,0.005107774,0.005107774,0.015323322,0.04086219,0.005107774,0.010215548,0.005107774,0.045969967,0.056185514,0.005107774,0.056185514,0.020431096,0.025538871,0,0.030646645,0.005107774,0.005107774,0,0.020431096,0,0.056185514,0.005107774,0,0.010215548,0.005107774,0,0,0,0.010215548,0,0.020431096,0.005107774,0.005107774,0,0.005107774,0,0.005107774,0.030646645,0,0,0.005107774,0,0,0.005107774,0.005107774,0
English Roman Life,5.0615835,3.41646,2.6896462,1.7060539,1.832267,1.8627323,1.2403708,0.7790399,1.4188101,0.89219654,0.70940506,0.5788397,0.635418,0.85737914,0.7790399,0.57013535,0.47873962,0.7181094,0.6789398,0.69199634,0.40475258,0.5005005,0.5657832,0.3612308,0.561431,0.6484746,0.2219611,0.3568786,0.37863952,0.37428734,0.2611307,0.5266136,0.3612308,0.14362188,0.25242633,0.43086565,0.26983505,0.47873962,0.20890455,0.16538277,0.79209644,0.41345695,0.13491753,0.20455238,0.19149585,0.11315663,0.3394699,0.25242633,0.23066545,0.32641336,0.26548287,0.13491753,0.22631326,0.13926971,0.2611307,0.23501763,0.2002002,0.20455238,0.3003003,0.24807416,0.2567785,0.12621316,0.23936981,0.09139574,0.16973495,0.18279149,0.08269139,0.07398703,0.15667842,0.030465247,0.11315663,0.3568786,0.14362188,0.14797406,0.13926971,0.17408714,0.13491753,0.13056535,0.18279149,0.12621316,0.17408714,0.095747925,0.060930494,0.043521784,0.08704357,0.043521784,0.034817427,0.15232624,0.09139574,0.06528267,0.117508814,0.16538277,0.23066545,0.13491753,0.12621316,0.1784393,0.095747925,0.052226137,0.021760892,0.047873963,0.052226137,0.056578316,0.08269139,0.13056535,0.16973495,0.043521784,0.14797406,0.08269139,0.052226137,0.034817427,0.021760892,0.056578316,0.043521784,0.07398703,0.017408714,0.14797406,0.043521784,0.09139574,0.017408714,0.104452275,0,0.008704357,0.039169606,0.104452275,0.056578316,0.08704357,0,0.039169606,0.026113069,0.069634855,0.069634855,0.008704357,0.069634855,0.030465247,0.008704357,0.034817427,0.030465247,0.052226137,0.052226137,0.013056534,0.004352178,0,0.13056535,0.026113069,0.017408714,0,0.052226137,0.047873963,0.004352178,0.008704357,0,0,0.004352178,0,0,0.008704357,0.008704357,0.026113069,0.017408714,0.004352178,0.013056534,0.013056534,0,0,0.008704357,0,0.026113069,0.008704357,0,0,0,0.008704357,0,0,0,0.004352178,0,0,0,0.026113069,0,0,0,0,0,0.004352178,0
